OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,40.1161471,-87.7783592
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499,40.1161471,-87.7783592
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599,40.1161471,-87.7783592
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,39.56543,-89.654416
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.795363,-85.768886
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.795363,-85.768886
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,39.7956007,-85.5263629
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,33.067047,-97.034274
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,39.5214373,-85.7769238
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,39.4667025,-87.4139119
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,41.4666631,-87.022793
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,41.4666631,-87.022793
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.412283,-96.231942
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.235503,-84.544494
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.839258,-85.722006
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.7807244,-91.3763353
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,42.526906,-71.759702
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,39.569611,-76.069864
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,39.1201433,-88.54348
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,39.1201433,-88.54348
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,39.1201433,-88.54348
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,39.1201433,-88.54348
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.2482719,-85.6421388
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,42.2482719,-85.6421388
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,42.2178171,-85.8911246
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,42.2178171,-85.8911246
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.6679992,-92.9746498
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,46.327844,-94.475013
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,39.372576,-91.218528
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.4937715,-94.2983717
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.798365,-91.526854
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199,38.7237486,-93.2413495
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299,36.7281652,-91.8525756
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154,34.9188701,-88.5107852
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.25566666,33.3020272,-91.1335311
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,34.8263002,-89.5646458
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.94733333,36.0959715,-79.2669619
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.08233333,35.52237,-79.183315
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629,34.224766,-77.946123
